case	real	p4f2	reduce	stress	start_to_complete_beats	issue_beats	commits	scalar_members	packets	source_gap_beats	input_backpressure_beats	output_backpressure_beats	read_responses
v006_zurich_city_02_c_0011_s2b4_onehot7_P4F2_p720_h941	1	1	0	1	1547	1450	1188	1450	96	0	1371	154	112
v006_zurich_city_02_c_0011_s2b4_onehot7_P4F2_p720_h941	1	1	1	0	1285	1188	1188	1450	96	0	1168	0	112
v006_zurich_city_02_c_0011_s2b4_onehot7_P4F2_p720_h941	1	1	1	1	1287	1188	1188	1450	96	2	1114	151	112
v006_zurich_city_02_c_0011_s2b4_time_rows_P4F2_p720_h941	1	1	0	0	2389	2292	1727	2292	96	0	2264	0	112
v006_zurich_city_02_c_0011_s2b4_time_rows_P4F2_p720_h941	1	1	0	1	2389	2292	1727	2292	96	0	2206	151	112
v006_zurich_city_02_c_0011_s2b4_time_rows_P4F2_p720_h941	1	1	1	0	1824	1727	1727	2292	96	0	1699	0	112
v006_zurich_city_02_c_0011_s2b4_time_rows_P4F2_p720_h941	1	1	1	1	1824	1727	1727	2292	96	0	1648	153	112
v006_zurich_city_02_c_0011_s2b5_onehot7_P8F1_p892_h1152	1	0	0	0	1973	1876	1516	1876	96	0	1846	0	112
v006_zurich_city_02_c_0011_s2b5_onehot7_P8F1_p892_h1152	1	0	0	1	1974	1876	1516	1876	96	1	1806	154	112
v006_zurich_city_02_c_0011_s2b5_onehot7_P8F1_p892_h1152	1	0	1	0	1613	1516	1516	1876	96	0	1495	0	112
v006_zurich_city_02_c_0011_s2b5_onehot7_P8F1_p892_h1152	1	0	1	1	1613	1516	1516	1876	96	0	1436	154	112
v006_zurich_city_02_c_0011_s2b5_time_rows_P8F1_p892_h1152	1	0	0	0	2316	2219	1764	2219	96	0	2183	0	112
v006_zurich_city_02_c_0011_s2b5_time_rows_P8F1_p892_h1152	1	0	0	1	2316	2219	1764	2219	96	0	2131	151	112
v006_zurich_city_02_c_0011_s2b5_time_rows_P8F1_p892_h1152	1	0	1	0	1861	1764	1764	2219	96	0	1738	0	112
v006_zurich_city_02_c_0011_s2b5_time_rows_P8F1_p892_h1152	1	0	1	1	1861	1764	1764	2219	96	0	1680	154	112
v006_zurich_city_02_c_0011_s2b5_onehot7_P4F2_p892_h1152	1	1	0	0	1965	1868	1489	1868	96	0	1838	0	112
v006_zurich_city_02_c_0011_s2b5_onehot7_P4F2_p892_h1152	1	1	0	1	1966	1868	1489	1868	96	1	1768	152	112
v006_zurich_city_02_c_0011_s2b5_onehot7_P4F2_p892_h1152	1	1	1	0	1586	1489	1489	1868	96	0	1471	0	112
v006_zurich_city_02_c_0011_s2b5_onehot7_P4F2_p892_h1152	1	1	1	1	1586	1489	1489	1868	96	0	1413	153	112
v006_zurich_city_02_c_0011_s2b5_time_rows_P4F2_p892_h1152	1	1	0	0	2246	2149	1690	2149	96	0	2117	0	112
v006_zurich_city_02_c_0011_s2b5_time_rows_P4F2_p892_h1152	1	1	0	1	2246	2149	1690	2149	96	0	2050	153	112
v006_zurich_city_02_c_0011_s2b5_time_rows_P4F2_p892_h1152	1	1	1	0	1787	1690	1690	2149	96	0	1670	0	112
v006_zurich_city_02_c_0011_s2b5_time_rows_P4F2_p892_h1152	1	1	1	1	1787	1690	1690	2149	96	0	1601	151	112
directed_empty_P8F1	0	0	0	0	13	0	0	0	6	0	5	0	112
directed_empty_P8F1	0	0	0	1	14	0	0	0	6	1	4	154	112
directed_empty_P8F1	0	0	1	0	13	0	0	0	6	0	5	0	112
directed_empty_P8F1	0	0	1	1	14	0	0	0	6	1	3	150	112
directed_valid_zero_P8F1	0	0	0	0	47	40	16	40	4	0	41	0	112
directed_valid_zero_P8F1	0	0	0	1	47	40	16	40	4	0	40	152	112
directed_valid_zero_P8F1	0	0	1	0	23	16	16	40	4	0	17	0	112
directed_valid_zero_P8F1	0	0	1	1	25	16	16	40	4	2	17	152	112
