case	real	time	intersection	reduce	stress	cycles_through_done_handshake	last_gate	source_reads	w_reads	w_zero	packets	events	commits	source_req_wait	w_req_wait	w_response_wait	output_wait	barrier_wait	psn_issues	nr_peak	w_pending_peak	w_accept_peak	source_accept_peak	first_tile0	first_tile1	w_metadata_reads	w_value_reads	compare_active_PE_beats	weight_pointer_advances_without_value	nrv_skips	nnz_tile0	nnz_tile1	image_bytes_tile0	image_bytes_tile1	frontend_load_beats	configuration_beats	rank_catchup_pe_beats
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_class	1	0	4	0	0	2756	2749	288	2872	43	709	7206	5765	0	0	0	0	6	2560	2	4	4	4	2	2	4	2868	0	0	0	381	376	386	386	3	100	0
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_class	1	0	4	0	1	7501	7494	288	2872	43	709	7206	5765	31	890	0	49	6	2560	2	4	3	4	0	4	4	2868	0	0	0	381	376	386	386	10	100	0
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_class	1	0	4	1	0	2755	2748	288	2872	43	709	7206	5765	0	0	0	0	7	2560	2	4	4	4	1	3	4	2868	0	0	0	381	376	386	386	3	100	0
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_class	1	0	4	1	1	7501	7494	288	2872	43	709	7206	5765	31	890	0	51	10	2560	2	4	3	4	1	3	4	2868	0	0	0	381	376	386	386	10	100	0
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_time	1	1	3	0	0	2719	2712	288	2872	43	709	10617	7613	0	0	0	0	6	2304	2	4	4	4	0	3	4	2868	0	0	0	381	376	386	386	3	92	0
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_time	1	1	3	0	1	7471	7464	288	2872	43	709	10617	7613	43	889	0	25	17	2304	2	4	3	4	2	2	4	2868	0	0	0	381	376	386	386	12	92	0
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_time	1	1	3	1	0	2715	2708	288	2872	43	709	10617	7613	0	0	0	0	5	2304	2	4	4	4	1	2	4	2868	0	0	0	381	376	386	386	3	92	0
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_time	1	1	3	1	1	7471	7464	288	2872	43	709	10617	7613	43	889	0	18	13	2304	2	4	3	4	1	2	4	2868	0	0	0	381	376	386	386	12	92	0
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_time	1	1	4	0	0	2724	2717	288	2872	43	709	10617	7613	0	0	0	0	6	2304	2	4	4	4	0	3	4	2868	0	0	0	381	376	386	386	3	92	0
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_time	1	1	4	0	1	7501	7494	288	2872	43	709	10617	7613	44	929	0	30	18	2304	2	4	3	4	2	2	4	2868	0	0	0	381	376	386	386	9	92	0
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_time	1	1	4	1	0	2720	2713	288	2872	43	709	10617	7613	0	0	0	0	5	2304	2	4	4	4	1	2	4	2868	0	0	0	381	376	386	386	3	92	0
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_time	1	1	4	1	1	7501	7494	288	2872	43	709	10617	7613	44	929	0	41	13	2304	2	4	3	4	1	2	4	2868	0	0	0	381	376	386	386	9	92	0
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_class	1	0	3	0	0	2782	2775	288	2926	61	719	8187	6280	0	0	0	0	8	2688	2	4	4	4	1	3	4	2922	0	0	0	375	377	386	386	3	104	0
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_class	1	0	3	0	1	7597	7590	288	2926	61	719	8187	6280	42	914	0	21	23	2688	2	4	3	4	1	3	4	2922	0	0	0	375	377	386	386	11	104	0
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_class	1	0	3	1	0	2779	2772	288	2926	61	719	8187	6280	0	0	0	0	6	2688	2	4	4	4	1	2	4	2922	0	0	0	375	377	386	386	3	104	0
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_class	1	0	3	1	1	7596	7589	288	2926	61	719	8187	6280	42	914	0	29	15	2688	2	4	3	4	1	3	4	2922	0	0	0	375	377	386	386	11	104	0
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_class	1	0	4	0	0	2785	2778	288	2926	61	719	8187	6280	0	0	0	0	8	2688	2	4	4	4	1	3	4	2922	0	0	0	375	377	386	386	3	104	0
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_class	1	0	4	0	1	7615	7608	288	2926	61	719	8187	6280	31	959	0	30	23	2688	2	4	4	4	1	3	4	2922	0	0	0	375	377	386	386	11	104	0
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_class	1	0	4	1	0	2782	2775	288	2926	61	719	8187	6280	0	0	0	0	6	2688	2	4	4	4	1	2	4	2922	0	0	0	375	377	386	386	3	104	0
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_class	1	0	4	1	1	7615	7608	288	2926	61	719	8187	6280	31	959	0	26	15	2688	2	4	4	4	1	3	4	2922	0	0	0	375	377	386	386	11	104	0
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_time	1	1	3	0	0	2766	2759	288	2926	61	719	10131	7597	0	0	0	0	11	2528	2	4	4	4	2	2	4	2922	0	0	0	375	377	386	386	3	99	0
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_time	1	1	3	0	1	7626	7619	288	2926	61	719	10131	7597	31	968	0	28	16	2528	2	4	3	4	2	2	4	2922	0	0	0	375	377	386	386	12	99	0
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_time	1	1	3	1	0	2757	2750	288	2926	61	719	10131	7597	0	0	0	0	8	2528	2	4	4	4	1	2	4	2922	0	0	0	375	377	386	386	3	99	0
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_time	1	1	3	1	1	7626	7619	288	2926	61	719	10131	7597	31	968	0	39	14	2528	2	4	3	4	1	3	4	2922	0	0	0	375	377	386	386	12	99	0
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_time	1	1	4	0	0	2769	2762	288	2926	61	719	10131	7597	0	0	0	0	11	2528	2	4	4	4	2	2	4	2922	0	0	0	375	377	386	386	3	99	0
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_time	1	1	4	0	1	7626	7619	288	2926	61	719	10131	7597	31	962	0	28	16	2528	2	4	4	4	2	2	4	2922	0	0	0	375	377	386	386	9	99	0
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_time	1	1	4	1	0	2760	2753	288	2926	61	719	10131	7597	0	0	0	0	8	2528	2	4	4	4	1	2	4	2922	0	0	0	375	377	386	386	3	99	0
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_time	1	1	4	1	1	7626	7619	288	2926	61	719	10131	7597	31	962	0	39	14	2528	2	4	4	4	1	3	4	2922	0	0	0	375	377	386	386	9	99	0
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_class	1	0	3	0	0	1138	1131	288	238	6	61	301	233	0	0	0	0	7	2432	2	4	4	4	0	3	4	234	0	0	0	377	376	386	386	3	96	0
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_class	1	0	3	0	1	1630	1623	288	238	6	61	301	233	41	94	0	23	7	2432	1	4	3	4	0	3	4	234	0	0	0	377	376	386	386	11	96	0
