case,real,order,mode,bp,packed32,prefetch,frontier,resident,active_pf,cycles,channels,batches,pairs,scalar_mac,words,xwords,graph_words,prefetch_words,cache_hits,refetches,peak_slots,graph_hits,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13
train0_p3,1,1,1,0,1,1,0,1,1,1297,64,64,640,6400,158,128,0,116,0,0,4,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p3,1,1,1,1,1,1,0,0,0,1379,64,64,640,6400,158,128,0,116,0,0,1,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p3,1,1,1,1,1,1,0,0,1,1379,64,64,640,6400,158,128,0,116,0,0,1,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p3,1,1,1,1,1,1,0,1,0,1379,64,64,640,6400,158,128,0,116,0,0,4,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p3,1,1,1,1,1,1,0,1,1,1379,64,64,640,6400,158,128,0,116,0,0,4,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p3,1,1,2,0,1,1,0,0,0,1048,49,49,490,4900,223,98,104,96,0,0,1,346,0,0,1,21,21,6,111,0,147,49,490,147,49,0,6,1
train0_p3,1,1,2,0,1,1,0,0,1,1048,49,49,490,4900,223,98,104,96,0,0,1,346,0,0,1,21,21,6,111,0,147,49,490,147,49,0,6,1
train0_p3,1,1,2,0,1,1,0,1,0,1048,49,49,490,4900,223,98,104,96,0,0,4,346,0,0,1,21,21,6,111,0,147,49,490,147,49,0,6,1
train0_p3,1,1,2,0,1,1,0,1,1,1048,49,49,490,4900,223,98,104,96,0,0,4,346,0,0,1,21,21,6,111,0,147,49,490,147,49,0,6,1
train0_p3,1,1,2,0,1,1,1,0,0,1021,62,47,412,4120,246,124,101,81,0,13,3,316,0,0,1,21,21,6,116,0,145,47,470,141,47,0,6,1
train0_p3,1,1,2,0,1,1,1,0,1,1016,62,47,412,4120,254,124,109,98,0,13,3,338,0,0,1,21,21,6,111,0,145,47,470,141,47,0,6,1
train0_p3,1,1,2,0,1,1,1,1,0,1009,62,47,412,4120,220,98,101,81,13,0,4,316,0,0,1,21,21,6,116,0,133,47,470,141,47,0,6,1
train0_p3,1,1,2,0,1,1,1,1,1,1004,62,47,412,4120,228,98,109,98,13,0,4,338,0,0,1,21,21,6,111,0,133,47,470,141,47,0,6,1
