axis,mode,population,file,valid_pixels,AEE,NB0_AEE,delta_NB0
ordinary,R24_onepass,valid825,zurich_city_02_c_0621.npy,32179,2.6867833541460313,2.5273676641,0.1594156900460315
ordinary,R24_onepass,valid825,zurich_city_02_c_0631.npy,26566,2.0297498266855727,2.359706574,-0.32995674731442737
ordinary,R24_onepass,valid825,zurich_city_02_c_0641.npy,28446,2.164311659604401,2.745708151,-0.5813964913955991
ordinary,R24_onepass,valid825,zurich_city_02_c_0651.npy,30804,2.176439276115901,2.4653989234,-0.28895964728409895
ordinary,R24_onepass,valid825,zurich_city_02_c_0661.npy,24172,2.4129970300279173,3.225777113,-0.8127800829720826
ordinary,R24_onepass,valid825,zurich_city_02_c_0671.npy,23950,1.8990341750645936,2.374124315,-0.4750901399354064
ordinary,R24_onepass,valid825,zurich_city_02_c_0681.npy,30004,2.5591564184879494,3.3114766989,-0.7523202804120506
ordinary,R24_onepass,valid825,zurich_city_02_c_0691.npy,31058,1.9463359782232674,2.3463617969,-0.4000258186767327
ordinary,R24_onepass,valid825,zurich_city_02_c_0701.npy,29625,1.5174118749095356,1.6292360232,-0.1118241482904645
ordinary,R24_onepass,valid825,zurich_city_02_c_0711.npy,29438,1.7311562773600049,1.9983362809,-0.26718000353999516
ordinary,R24_onepass,valid825,zurich_city_02_c_0721.npy,24127,1.5440850033099756,2.1159984794,-0.5719134760900244
ordinary,R24_onepass,valid825,zurich_city_02_c_0731.npy,24276,1.9854786967730382,1.9064826758,0.07899602097303826
ordinary,R24_onepass,valid825,zurich_city_02_c_0741.npy,23637,1.454849382697319,2.0809288007,-0.6260794180026812
ordinary,R24_onepass,valid825,zurich_city_02_c_0751.npy,28698,1.808322935537074,2.4113676802,-0.6030447446629261
ordinary,R24_onepass,valid825,zurich_city_02_c_0761.npy,36069,2.3164798164352223,2.3997303779,-0.08325056146477783
ordinary,R24_onepass,valid825,zurich_city_02_c_0771.npy,30213,1.4716377373292555,1.8742576147,-0.40261987737074456
ordinary,R24_onepass,valid825,zurich_city_02_c_0781.npy,36345,1.190914393350362,1.8493704,-0.6584560066496379
ordinary,R24_onepass,valid825,zurich_city_02_c_0791.npy,39373,1.2652700195064903,1.8006107056,-0.5353406860935097
ordinary,R24_onepass,valid825,zurich_city_11_b_0001.npy,71275,0.6862206343856864,0.8770144248,-0.19079379041431366
ordinary,R24_onepass,valid825,zurich_city_11_b_0011.npy,64608,0.9936701602359049,1.1328364425,-0.139166282264095
ordinary,R24_onepass,valid825,zurich_city_11_b_0021.npy,66582,1.6797709780439922,1.6526745216,0.027096456443992167
ordinary,R24_onepass,valid825,zurich_city_11_b_0031.npy,65972,1.1896682314485731,1.3003850118,-0.11071678035142685
ordinary,R24_onepass,valid825,zurich_city_11_b_0041.npy,64042,0.9417849381261988,1.0464812155,-0.10469627737380127
ordinary,R24_onepass,valid825,zurich_city_11_b_0051.npy,59320,1.183614547237083,1.2619680599,-0.07835351266291712
ordinary,R24_onepass,valid825,zurich_city_11_b_0061.npy,60420,1.0597907847084629,1.2902249359,-0.2304341511915371
ordinary,R24_onepass,valid825,zurich_city_11_b_0071.npy,76326,2.414202183007522,2.2573672471,0.15683493590752207
ordinary,R24_onepass,valid825,zurich_city_11_b_0081.npy,97534,2.89997465700996,3.3788050834,-0.47883042639004003
ordinary,R24_onepass,valid825,zurich_city_11_b_0091.npy,105799,3.6714955324287173,4.4093729619,-0.7378774294712827
ordinary,R24_onepass,valid825,zurich_city_11_b_0101.npy,90194,1.441381376983251,1.5041216711,-0.06274029411674897
ordinary,R24_onepass,valid825,zurich_city_11_b_0111.npy,75489,2.800573440533799,2.3372767887,0.4632966518337991
ordinary,R24_onepass,valid825,zurich_city_11_b_0121.npy,77650,2.7294064628273844,2.8089614858,-0.07955502297261541
ordinary,R24_onepass,valid825,zurich_city_11_b_0131.npy,87755,1.9767450366672896,2.4672454561,-0.4905004194327105
ordinary,R24_onepass,valid825,zurich_city_11_b_0141.npy,88889,0.9776509030859246,1.2727559969,-0.29510509381407535
ordinary,R24_onepass,valid825,zurich_city_11_b_0151.npy,102107,0.8976187279677317,1.0125849905,-0.11496626253226827
ordinary,R24_onepass,valid825,zurich_city_11_b_0161.npy,90821,0.7992761115955432,1.1216724553,-0.3223963437044567
ordinary,R24_onepass,valid825,zurich_city_11_b_0171.npy,86233,0.9168567447296572,1.1383657685,-0.22150902377034276
ordinary,R24_onepass,valid825,zurich_city_11_b_0181.npy,75492,1.036316313766068,1.2697949369,-0.23347862313393186
ordinary,R24_onepass,valid825,zurich_city_11_b_0191.npy,66573,0.8859165088659132,1.1956298208,-0.3097133119340868
ordinary,R24_onepass,valid825,zurich_city_11_b_0201.npy,62122,0.8472704311579626,0.9678188056,-0.12054837444203736
ordinary,R24_onepass,valid825,zurich_city_11_b_0211.npy,76013,0.7815395866627672,0.9093680933,-0.12782850663723277
ordinary,R24_onepass,valid825,zurich_city_11_b_0221.npy,81538,0.8791712709252764,1.0416291714,-0.16245790047472375
ordinary,R24_onepass,valid825,zurich_city_11_b_0231.npy,89936,0.8267260677609034,1.1023766206,-0.2756505528390967
ordinary,R24_onepass,valid825,zurich_city_11_b_0241.npy,98996,0.8478260460695496,1.0091192132,-0.1612931671304504
ordinary,R24_onepass,valid825,zurich_city_11_b_0251.npy,100399,0.7728091133682766,1.0318969499,-0.2590878365317233
ordinary,R24_onepass,valid825,zurich_city_11_b_0261.npy,93705,0.7394740504945806,0.948735393,-0.2092613425054194
ordinary,R24_onepass,valid825,zurich_city_11_b_0271.npy,92906,0.9653468919788887,1.2405082994,-0.2751614074211114
ordinary,R24_onepass,valid825,zurich_city_11_b_0281.npy,98498,0.7629740881973128,0.9865305006,-0.2235564124026872
ordinary,R24_onepass,valid825,zurich_city_11_b_0291.npy,94665,0.6520229119497595,0.9116420404,-0.2596191284502405
ordinary,R24_onepass,valid825,zurich_city_11_b_0301.npy,80548,0.7464081520233373,1.0421674033,-0.2957592512766626
ordinary,R24_onepass,valid825,zurich_city_11_b_0311.npy,82299,0.829239872177631,1.0405381596,-0.2112982874223691
ordinary,R24_onepass,valid825,zurich_city_11_b_0321.npy,83555,1.242607079577047,1.3272294447,-0.08462236512295296
ordinary,R24_onepass,valid825,zurich_city_11_b_0331.npy,73495,0.9436791328586864,1.0006300386,-0.05695090574131356
ordinary,R24_onepass,valid825,zurich_city_11_b_0341.npy,68925,0.9664287419674906,1.0393540306,-0.07292528863250936
ordinary,R24_onepass,valid825,zurich_city_11_b_0351.npy,67595,0.9360726788876177,0.9521303351,-0.01605765621238231
ordinary,R24_onepass,valid825,zurich_city_11_b_0361.npy,83916,0.8124379839470321,1.0162817207,-0.20384373675296774
ordinary,R24_onepass,valid825,zurich_city_11_b_0371.npy,95835,0.8374096691462878,0.8526730513,-0.015263382153712257
ordinary,R24_onepass,valid825,zurich_city_11_b_0381.npy,85734,0.7787414580504188,0.9627306553,-0.18398919724958118
ordinary,R24_onepass,valid825,zurich_city_11_b_0391.npy,82364,0.8695787597165638,0.9699679168,-0.10038915708343621
ordinary,R24_onepass,valid825,zurich_city_11_b_0401.npy,75201,0.8672514146171657,1.0089584912,-0.14170707658283432
ordinary,R24_onepass,valid825,zurich_city_11_b_0411.npy,83615,0.7329924583771461,0.9263674094,-0.19337495102285385
ordinary,R24_onepass,valid825,zurich_city_11_b_0421.npy,67491,0.863791194107559,1.0535557519,-0.18976455779244106
ordinary,R24_onepass,valid825,zurich_city_11_b_0431.npy,61910,1.1860064806720352,1.4809519363,-0.2949454556279649
ordinary,R24_onepass,valid825,zurich_city_11_b_0441.npy,85681,0.6839520080450497,1.0357095834,-0.35175757535495034
ordinary,R24_onepass,valid825,zurich_city_11_b_0451.npy,88633,0.6964504749622323,1.1139817774,-0.4175313024377677
ordinary,R24_onepass,valid825,zurich_city_11_b_0461.npy,90814,0.6503241208632239,0.9769150406,-0.3265909197367761
ordinary,R24_onepass,valid825,zurich_city_11_b_0471.npy,86407,0.7245392269221329,0.9457921523,-0.22125292537786712
ordinary,R24_onepass,valid825,zurich_city_11_b_0481.npy,80693,0.6876833344093795,0.8784896924,-0.1908063579906205
ordinary,R24_onepass,valid825,zurich_city_11_b_0491.npy,74731,0.8878500869839336,1.0904920649,-0.20264197791606642
ordinary,R24_onepass,valid825,zurich_city_11_b_0501.npy,76443,0.9955159098046696,1.0453822619,-0.0498663520953303
ordinary,R24_onepass,valid825,zurich_city_11_b_0511.npy,64823,1.0864622134817052,1.2044806145,-0.11801840101829475
ordinary,R24_onepass,valid825,zurich_city_11_b_0521.npy,67980,1.0054450776759933,1.4288308602,-0.4233857825240066
ordinary,R24_onepass,valid825,zurich_city_11_b_0531.npy,77368,0.8538272563057386,1.0496050531,-0.19577779679426144
ordinary,R24_onepass,valid825,zurich_city_11_b_0541.npy,76166,0.7627814703597487,0.8929228183,-0.13014134794025123
ordinary,R24_onepass,valid825,zurich_city_11_b_0551.npy,79205,0.8110301368786136,0.9816364576,-0.17060632072138637
ordinary,R24_onepass,valid825,zurich_city_11_b_0561.npy,79376,0.846460818603904,1.0373430335,-0.19088221489609603
ordinary,R24_onepass,valid825,zurich_city_11_b_0571.npy,77168,0.8020520363778832,0.9137585771,-0.11170654072211672
ordinary,R24_onepass,valid825,zurich_city_11_b_0581.npy,85923,0.6957426345776649,0.8547499469,-0.159007312322335
ordinary,R24_onepass,valid825,zurich_city_11_b_0591.npy,81023,0.6930205708204878,0.8220620997,-0.12904152887951215
ordinary,R24_onepass,valid825,zurich_city_11_b_0601.npy,74025,0.72105695001502,0.8709393997,-0.14988244968498
ordinary,R24_onepass,valid825,zurich_city_11_b_0611.npy,73882,0.861452895900477,1.013137926,-0.15168503009952294
ordinary,R24_onepass,valid825,zurich_city_11_b_0621.npy,79319,0.8650559758306503,1.0814009333,-0.21634495746934979
ordinary,R24_onepass,valid825,zurich_city_11_b_0631.npy,85384,0.9350562422747902,0.9571622757,-0.02210603342520978
