case	real	time	intersection	reduce	stress	cycles_through_done_handshake	last_gate	source_reads	w_reads	w_zero	packets	events	commits	source_req_wait	w_req_wait	w_response_wait	output_wait	barrier_wait	psn_issues	nr_peak	w_pending_peak	w_accept_peak	source_accept_peak	first_tile0	first_tile1	w_metadata_reads	w_value_reads	compare_active_PE_beats	weight_pointer_advances_without_value	nrv_skips	nnz_tile0	nnz_tile1	image_bytes_tile0	image_bytes_tile1
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_time	1	1	1	0	1	22153	22146	288	8897	0	709	10617	7613	40	3058	0	26	18	2304	1	4	4	3	2	2	6072	2825	17143	203	43	381	376	1145	1130
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_time	1	1	1	1	0	7127	7120	288	8897	0	709	10617	7613	0	0	0	0	6	2304	2	4	4	4	1	2	6072	2825	10074	203	43	381	376	1145	1130
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_time	1	1	1	1	1	22311	22304	288	8897	0	709	10617	7613	32	2968	0	32	12	2304	1	4	3	4	1	2	6072	2825	17278	203	43	381	376	1145	1130
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_class	1	0	0	0	0	2782	2775	288	2922	61	719	8187	6280	0	0	0	0	8	2688	2	4	4	4	1	3	0	2922	0	0	0	375	377	384	384
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_class	1	0	0	0	1	7641	7634	288	2922	61	719	8187	6280	39	991	0	12	23	2688	2	4	3	4	1	3	0	2922	0	0	0	375	377	384	384
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_class	1	0	0	1	0	2779	2772	288	2922	61	719	8187	6280	0	0	0	0	6	2688	2	4	4	4	1	2	0	2922	0	0	0	375	377	384	384
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_class	1	0	0	1	1	7573	7566	288	2922	61	719	8187	6280	53	969	0	28	15	2688	2	4	3	2	1	3	0	2922	0	0	0	375	377	384	384
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_class	1	0	1	0	0	7248	7241	288	8893	0	719	8187	6280	0	0	0	0	20	2688	2	4	4	4	1	3	6032	2861	9791	147	61	375	377	1127	1133
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_class	1	0	1	0	1	22313	22306	288	8893	0	719	8187	6280	46	2999	0	25	23	2688	1	4	4	4	1	3	6032	2861	17499	147	61	375	377	1127	1133
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_class	1	0	1	1	0	7246	7239	288	8893	0	719	8187	6280	0	0	0	0	15	2688	2	4	4	4	1	3	6032	2861	9791	147	61	375	377	1127	1133
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_class	1	0	1	1	1	22201	22194	288	8893	0	719	8187	6280	46	2922	0	20	15	2688	1	4	4	4	1	3	6032	2861	17308	147	61	375	377	1127	1133
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_time	1	1	0	0	0	2766	2759	288	2922	61	719	10131	7597	0	0	0	0	11	2528	2	4	4	4	2	2	0	2922	0	0	0	375	377	384	384
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_time	1	1	0	0	1	7581	7574	288	2922	61	719	10131	7597	46	1003	0	45	21	2528	2	4	3	4	1	3	0	2922	0	0	0	375	377	384	384
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_time	1	1	0	1	0	2757	2750	288	2922	61	719	10131	7597	0	0	0	0	8	2528	2	4	4	4	1	2	0	2922	0	0	0	375	377	384	384
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_time	1	1	0	1	1	7623	7616	288	2922	61	719	10131	7597	41	974	0	35	17	2528	2	4	3	4	1	3	0	2922	0	0	0	375	377	384	384
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_time	1	1	1	0	0	7227	7220	288	8893	0	719	10131	7597	0	0	0	0	14	2528	2	4	4	4	2	2	6032	2861	9791	147	61	375	377	1127	1133
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_time	1	1	1	0	1	22325	22318	288	8893	0	719	10131	7597	40	3045	0	40	25	2528	2	4	4	4	1	3	6032	2861	17533	147	61	375	377	1127	1133
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_time	1	1	1	1	0	7224	7217	288	8893	0	719	10131	7597	0	0	0	0	14	2528	2	4	4	4	1	3	6032	2861	9791	147	61	375	377	1127	1133
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_time	1	1	1	1	1	22195	22188	288	8893	0	719	10131	7597	41	2936	0	36	17	2528	1	4	4	4	1	3	6032	2861	17393	147	61	375	377	1127	1133
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_class	1	0	0	0	0	1138	1131	288	234	6	61	301	233	0	0	0	0	7	2432	2	4	4	4	0	3	0	234	0	0	0	377	376	384	384
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_class	1	0	0	0	1	1598	1591	288	234	6	61	301	233	41	77	0	17	7	2432	1	4	3	3	0	3	0	234	0	0	0	377	376	384	384
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_class	1	0	0	1	0	1138	1131	288	234	6	61	301	233	0	0	0	0	5	2432	2	4	4	4	0	2	0	234	0	0	0	377	376	384	384
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_class	1	0	0	1	1	1630	1623	288	234	6	61	301	233	32	73	0	26	5	2432	1	4	3	3	0	2	0	234	0	0	0	377	376	384	384
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_class	1	0	1	0	0	5198	5191	288	6158	0	61	301	233	0	0	0	0	7	2432	1	4	4	4	0	3	5930	228	3415	2728	6	377	376	1133	1130
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_class	1	0	1	0	1	15697	15690	288	6158	0	61	301	233	40	2128	0	22	7	2432	1	4	4	4	0	3	5930	228	3938	2728	6	377	376	1133	1130
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_class	1	0	1	1	0	5198	5191	288	6158	0	61	301	233	0	0	0	0	5	2432	1	4	4	4	0	2	5930	228	3415	2728	6	377	376	1133	1130
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_class	1	0	1	1	1	15705	15698	288	6158	0	61	301	233	43	2029	0	24	5	2432	1	4	4	4	0	2	5930	228	3982	2728	6	377	376	1133	1130
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_time	1	1	0	0	0	1090	1083	288	234	6	61	645	483	0	0	0	0	11	2080	2	4	4	4	0	3	0	234	0	0	0	377	376	384	384
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_time	1	1	0	0	1	1548	1541	288	234	6	61	645	483	51	89	0	22	15	2080	2	4	3	4	0	3	0	234	0	0	0	377	376	384	384
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_time	1	1	0	1	0	1090	1083	288	234	6	61	645	483	0	0	0	0	10	2080	2	4	4	4	0	2	0	234	0	0	0	377	376	384	384
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_time	1	1	0	1	1	1548	1541	288	234	6	61	645	483	32	83	0	21	10	2080	2	4	4	4	0	2	0	234	0	0	0	377	376	384	384
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_time	1	1	1	0	0	5150	5143	288	6158	0	61	645	483	0	0	0	0	15	2080	1	4	4	4	0	3	5930	228	3415	2728	6	377	376	1133	1130
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_time	1	1	1	0	1	15576	15569	288	6158	0	61	645	483	34	2063	0	36	11	2080	1	4	4	4	0	3	5930	228	4000	2728	6	377	376	1133	1130
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_time	1	1	1	1	0	5150	5143	288	6158	0	61	645	483	0	0	0	0	11	2080	1	4	4	4	0	2	5930	228	3415	2728	6	377	376	1133	1130
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_time	1	1	1	1	1	15615	15608	288	6158	0	61	645	483	45	2142	0	25	11	2080	1	4	4	3	0	2	5930	228	3960	2728	6	377	376	1133	1130
v006_zurich_city_02_c_0011_s2b1_p188_h308_1041_packed_class	1	0	0	0	0	2265	2258	288	1472	18	368	2888	2274	0	0	0	0	1	2624	2	4	4	4	1	0	0	1472	0	0	0	379	379	384	384
v006_zurich_city_02_c_0011_s2b1_p188_h308_1041_packed_class	1	0	0	0	1	4955	4948	288	1472	18	368	2888	2274	38	493	0	40	4	2624	2	4	4	4	1	1	0	1472	0	0	0	379	379	384	384
v006_zurich_city_02_c_0011_s2b1_p188_h308_1041_packed_class	1	0	0	1	0	2265	2258	288	1472	18	368	2888	2274	0	0	0	0	2	2624	2	4	4	4	2	0	0	1472	0	0	0	379	379	384	384
