case,real,mode,bp,cycles,source_to_gate,boot_cycles,fc_cycles,psn_cycles,words,coeff_words,updates,mac,jobs,zero_jobs,bank_skips,psn_wait,peak_words,peak_desc,out_stall,bank_req_stall
real_v1_tile0_h2,1,0,1,7232,5800,1431,2143,3284,742,360,2132,2080,60,0,0,0,24,4,130,220
real_v1_tile0_h2,1,1,0,4965,4176,788,702,3154,1234,840,690,2080,70,0,0,0,24,2,0,0
real_v1_tile0_h2,1,1,1,5956,4479,1476,823,3283,1234,840,690,2080,70,0,0,0,24,2,129,379
real_v1_tile0_h2,1,2,0,4960,4171,788,697,3154,954,560,690,2080,70,0,0,0,24,3,0,0
real_v1_tile0_h2,1,2,1,5846,4369,1476,714,3282,954,560,690,2080,70,0,0,0,24,3,128,291
real_v1_tile0_h2,1,3,0,4972,4171,800,697,3154,960,560,690,2080,70,0,0,0,24,3,0,0
real_v1_tile0_h2,1,3,1,5868,4366,1501,713,3280,960,560,690,2080,70,0,0,0,24,3,126,294
real_v1_tile0_h2,1,4,0,4966,4171,794,697,3154,957,560,690,2080,70,0,0,0,24,3,0,0
real_v1_tile0_h2,1,4,1,5857,4370,1486,716,3281,957,560,690,2080,70,0,0,0,24,3,127,299
real_v1_tile0_h3,1,0,0,6378,5613,764,2139,3154,742,360,2132,2080,60,0,0,0,24,4,0,0
real_v1_tile0_h3,1,0,1,7232,5796,1435,2142,3280,742,360,2132,2080,60,0,0,0,24,4,126,206
real_v1_tile0_h3,1,1,0,4965,4176,788,702,3154,1234,840,690,2080,70,0,0,0,24,2,0,0
real_v1_tile0_h3,1,1,1,5945,4464,1480,808,3283,1234,840,690,2080,70,0,0,0,24,2,129,346
real_v1_tile0_h3,1,2,0,4960,4171,788,697,3154,954,560,690,2080,70,0,0,0,24,3,0,0
real_v1_tile0_h3,1,2,1,5857,4376,1480,715,3288,954,560,690,2080,70,0,0,0,24,3,134,265
real_v1_tile0_h3,1,3,0,4972,4171,800,697,3154,960,560,690,2080,70,0,0,0,24,3,0,0
real_v1_tile0_h3,1,3,1,5879,4375,1503,716,3286,960,560,690,2080,70,0,0,0,24,3,132,289
real_v1_tile0_h3,1,4,0,4966,4171,794,697,3154,957,560,690,2080,70,0,0,0,24,3,0,0
real_v1_tile0_h3,1,4,1,5857,4367,1489,713,3281,957,560,690,2080,70,0,0,0,24,3,127,291
