receipt,fixture,first_tile,tiles,mode,stall,command,total_cycles,static_words,source_load_words,external_source_words,padding_words,core_weight_words,core_z_vector_reads,core_z_writes,core_psum_reads,core_psum_writes,core_first_issues,core_mac_issues,core_output_stalls,consumer_cycles,consumer_join_wait_cycles,consumer_output_stalls,output_beats
results.json,product_ties,,,0,0,1,9945,0,1536,1536,0,13,60,40,480,480,20,480,2419,8405,5020,0,480
results.json,product_ties,,,0,1,0,13117,1848,1536,1536,0,13,60,40,480,480,20,480,2810,8961,5303,273,480
results.json,product_ties,,,0,1,1,11114,0,1536,1536,0,13,60,40,480,480,20,480,2810,8960,5304,271,480
results.json,product_ties,,,1,0,0,10322,1848,1536,1536,0,13,60,40,0,480,20,480,1428,6934,3549,0,480
results.json,product_ties,,,1,0,1,8474,0,1536,1536,0,13,60,40,0,480,20,480,1428,6934,3549,0,480
results.json,product_ties,,,1,1,0,11672,1848,1536,1536,0,13,60,40,0,480,20,480,1850,7516,3841,290,480
results.json,product_ties,,,1,1,1,9669,0,1536,1536,0,13,60,40,0,480,20,480,1850,7515,3843,287,480
results.json,product_ties,,,2,0,0,10322,1848,1536,1536,0,13,60,40,0,0,20,480,1428,6934,3549,0,480
results.json,product_ties,,,2,0,1,8474,0,1536,1536,0,13,60,40,0,0,20,480,1428,6934,3549,0,480
results.json,product_ties,,,2,1,0,11672,1848,1536,1536,0,13,60,40,0,0,20,480,1850,7516,3841,290,480
results.json,product_ties,,,2,1,1,9669,0,1536,1536,0,13,60,40,0,0,20,480,1850,7515,3843,287,480
results.json,extreme_1,,,0,0,0,69522,1848,1536,1536,0,960,17320,17300,480,480,17280,3840,2419,66134,62749,0,480
results.json,extreme_1,,,0,0,1,67674,0,1536,1536,0,960,17320,17300,480,480,17280,3840,2419,66134,62749,0,480
results.json,extreme_1,,,0,1,0,71167,1848,1536,1536,0,960,17320,17300,480,480,17280,3840,2809,67011,63356,270,480
results.json,extreme_1,,,0,1,1,69162,0,1536,1536,0,960,17320,17300,480,480,17280,3840,2806,67008,63353,270,480
results.json,extreme_1,,,1,0,0,66623,1848,1536,1536,0,960,17320,17300,0,480,17280,3840,0,63235,59850,0,480
results.json,extreme_1,,,1,0,1,64775,0,1536,1536,0,960,17320,17300,0,480,17280,3840,0,63235,59850,0,480
results.json,extreme_1,,,1,1,0,67872,1848,1536,1536,0,960,17320,17300,0,480,17280,3840,0,63716,60044,287,480
results.json,extreme_1,,,1,1,1,65872,0,1536,1536,0,960,17320,17300,0,480,17280,3840,0,63718,60047,286,480
results.json,extreme_1,,,2,0,0,66623,1848,1536,1536,0,960,17320,17300,0,0,17280,3840,0,63235,59850,0,480
results.json,extreme_1,,,2,0,1,64775,0,1536,1536,0,960,17320,17300,0,0,17280,3840,0,63235,59850,0,480
results.json,extreme_1,,,2,1,0,67872,1848,1536,1536,0,960,17320,17300,0,0,17280,3840,0,63716,60044,287,480
results.json,extreme_1,,,2,1,1,65872,0,1536,1536,0,960,17320,17300,0,0,17280,3840,0,63718,60047,286,480
results.json,extreme_-1,,,0,0,0,69522,1848,1536,1536,0,960,17320,17300,480,480,17280,3840,2419,66134,62749,0,480
results.json,extreme_-1,,,0,0,1,67674,0,1536,1536,0,960,17320,17300,480,480,17280,3840,2419,66134,62749,0,480
results.json,extreme_-1,,,0,1,0,71167,1848,1536,1536,0,960,17320,17300,480,480,17280,3840,2809,67011,63356,270,480
results.json,extreme_-1,,,0,1,1,69162,0,1536,1536,0,960,17320,17300,480,480,17280,3840,2806,67008,63353,270,480
results.json,extreme_-1,,,1,0,0,66623,1848,1536,1536,0,960,17320,17300,0,480,17280,3840,0,63235,59850,0,480
results.json,extreme_-1,,,1,0,1,64775,0,1536,1536,0,960,17320,17300,0,480,17280,3840,0,63235,59850,0,480
results.json,extreme_-1,,,1,1,0,67872,1848,1536,1536,0,960,17320,17300,0,480,17280,3840,0,63716,60044,287,480
results.json,extreme_-1,,,1,1,1,65872,0,1536,1536,0,960,17320,17300,0,480,17280,3840,0,63718,60047,286,480
results.json,extreme_-1,,,2,0,0,66623,1848,1536,1536,0,960,17320,17300,0,0,17280,3840,0,63235,59850,0,480
results.json,extreme_-1,,,2,0,1,64775,0,1536,1536,0,960,17320,17300,0,0,17280,3840,0,63235,59850,0,480
results.json,extreme_-1,,,2,1,0,67872,1848,1536,1536,0,960,17320,17300,0,0,17280,3840,0,63716,60044,287,480
results.json,extreme_-1,,,2,1,1,65872,0,1536,1536,0,960,17320,17300,0,0,17280,3840,0,63718,60047,286,480
results.json,fp_conversion_boundaries,,,0,0,0,12112,1848,1536,1536,0,0,40,20,480,480,0,0,2419,8724,5339,0,480
results.json,fp_conversion_boundaries,,,0,0,1,10264,0,1536,1536,0,0,40,20,480,480,0,0,2419,8724,5339,0,480
results.json,fp_conversion_boundaries,,,0,1,0,13402,1848,1536,1536,0,0,40,20,480,480,0,0,2806,9246,5592,269,480
results.json,fp_conversion_boundaries,,,0,1,1,11397,0,1536,1536,0,0,40,20,480,480,0,0,2805,9243,5589,269,480
results.json,fp_conversion_boundaries,,,1,0,0,11109,1848,1536,1536,0,0,40,20,0,480,0,0,1896,7721,4336,0,480
results.json,fp_conversion_boundaries,,,1,0,1,9261,0,1536,1536,0,0,40,20,0,480,0,0,1896,7721,4336,0,480
results.json,fp_conversion_boundaries,,,1,1,0,12412,1848,1536,1536,0,0,40,20,0,480,0,0,2296,8256,4597,274,480
results.json,fp_conversion_boundaries,,,1,1,1,10399,0,1536,1536,0,0,40,20,0,480,0,0,2288,8245,4591,269,480
results.json,fp_conversion_boundaries,,,2,0,0,11109,1848,1536,1536,0,0,40,20,0,0,0,0,1896,7721,4336,0,480
results.json,fp_conversion_boundaries,,,2,0,1,9261,0,1536,1536,0,0,40,20,0,0,0,0,1896,7721,4336,0,480
results.json,fp_conversion_boundaries,,,2,1,0,12412,1848,1536,1536,0,0,40,20,0,0,0,0,2296,8256,4597,274,480
results.json,fp_conversion_boundaries,,,2,1,1,10399,0,1536,1536,0,0,40,20,0,0,0,0,2288,8245,4591,269,480
results_64.json,,128,64,1,0,0,968747,1848,98304,85344,12960,31381,79592,78312,0,30720,77032,198720,15312,868402,651762,0,30720
results_64.json,,128,64,1,0,1,966899,0,98304,85344,12960,31381,79592,78312,0,30720,77032,198720,15312,868402,651762,0,30720
results_64.json,,128,64,1,1,0,1027877,1848,98304,85344,12960,31381,79592,78312,0,30720,77032,198720,19255,892532,655810,20082,30720
results_64.json,,128,64,1,1,1,1025742,0,98304,85344,12960,31381,79592,78312,0,30720,77032,198720,19266,892395,655546,20209,30720
results_64.json,,128,64,2,0,0,968747,1848,98304,85344,12960,31381,79592,78312,0,0,77032,198720,15312,868402,651762,0,30720
results_64.json,,128,64,2,0,1,966899,0,98304,85344,12960,31381,79592,78312,0,0,77032,198720,15312,868402,651762,0,30720
results_64.json,,128,64,2,1,0,1027877,1848,98304,85344,12960,31381,79592,78312,0,0,77032,198720,19255,892532,655810,20082,30720
results_64.json,,128,64,2,1,1,1025742,0,98304,85344,12960,31381,79592,78312,0,0,77032,198720,19266,892395,655546,20209,30720
