case,real,order,mode,bp,packed32,prefetch,cycles,channels,scalar_mac,words,xwords,graph_words,prefetch_words,graph_hits,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13
train0_p31,1,1,3,0,1,1,1291,61,6100,300,122,157,144,371,0,0,1,21,21,6,138,0,183,61,610,183,61,0,6,1
train0_p31,1,1,3,1,1,1,1566,61,6100,300,122,157,144,371,119,2,1,27,54,6,169,0,386,61,610,183,61,0,8,1
train1_p0,1,1,3,0,1,1,1126,53,5300,245,106,118,108,343,0,0,1,21,21,6,117,0,159,53,530,159,53,0,6,1
train1_p0,1,1,3,1,1,1,1361,53,5300,245,106,118,108,343,76,0,1,27,54,6,134,0,338,53,530,159,53,0,6,1
train1_p1,1,1,3,0,1,1,1007,47,4700,206,94,91,83,341,0,0,1,21,21,6,106,0,141,47,470,141,47,0,6,1
train1_p1,1,1,3,1,1,1,1225,47,4700,206,94,91,83,341,60,5,1,27,54,6,123,0,298,47,470,141,47,0,11,1
train1_p2,1,1,3,0,1,1,1165,55,5500,247,110,116,106,339,0,0,1,21,21,6,120,0,165,55,550,165,55,0,6,1
train1_p2,1,1,3,1,1,1,1406,55,5500,247,110,116,106,339,87,3,1,27,54,6,141,0,343,55,550,165,55,0,9,1
train1_p3,1,1,3,0,1,1,1008,47,4700,216,94,101,93,342,0,0,1,21,21,6,107,0,141,47,470,141,47,0,6,1
train1_p3,1,1,3,1,1,1,1225,47,4700,216,94,101,93,342,67,2,1,27,54,6,125,0,299,47,470,141,47,0,8,1
train1_p4,1,1,3,0,1,1,1271,60,6000,317,120,176,156,362,0,0,1,21,21,6,136,0,180,60,600,180,60,0,6,1
train1_p4,1,1,3,1,1,1,1544,60,6000,317,120,176,156,362,101,6,1,27,54,6,173,0,371,60,600,180,60,0,12,1
train1_p5,1,1,3,0,1,1,1046,49,4900,215,98,96,88,344,0,0,1,21,21,6,109,0,147,49,490,147,49,0,6,1
