fixture,mode,stall,command,total_cycles,static_words,source_load_words,core_cycles,core_encoder_cycles,core_candidate_trials,core_mac_issues,core_base_reads,core_base_negations,core_reference_writes,core_choice_prev,core_choice_anchor,core_choice_neg1,core_choice_pos2,core_choice_neg2,core_range_rejects,consumer_cycles,consumer_join_wait_cycles,consumer_output_stalls
product_ties,2,0,0,11513,1848,1536,8119,152,36,48,0,0,0,36,0,0,0,0,0,8125,4740,0
product_ties,2,0,1,9665,0,1536,8119,152,36,48,0,0,0,36,0,0,0,0,0,8125,4740,0
product_ties,2,1,0,12834,1848,1536,8672,152,36,48,0,0,0,36,0,0,0,0,0,8678,5023,270
product_ties,2,1,1,10832,0,1536,8671,152,36,48,0,0,0,36,0,0,0,0,0,8678,5024,269
extreme_1,0,0,0,69522,1848,1536,66128,0,0,3840,0,0,0,0,0,0,0,0,0,66134,62749,0
extreme_1,0,0,1,67674,0,1536,66128,0,0,3840,0,0,0,0,0,0,0,0,0,66134,62749,0
extreme_1,0,1,0,71167,1848,1536,67004,0,0,3840,0,0,0,0,0,0,0,0,0,67011,63356,270
extreme_1,0,1,1,69162,0,1536,67001,0,0,3840,0,0,0,0,0,0,0,0,0,67008,63353,270
extreme_1,1,0,0,66218,1848,1536,62824,152,36,384,0,0,0,36,0,0,0,0,0,62830,59445,0
extreme_1,1,0,1,64370,0,1536,62824,152,36,384,0,0,0,36,0,0,0,0,0,62830,59445,0
extreme_1,1,1,0,67859,1848,1536,63697,152,36,384,0,0,0,36,0,0,0,0,0,63703,60048,270
extreme_1,1,1,1,65854,0,1536,63694,152,36,384,0,0,0,36,0,0,0,0,0,63700,60047,268
extreme_1,2,0,0,66218,1848,1536,62824,152,36,384,0,0,0,36,0,0,0,0,0,62830,59445,0
extreme_1,2,0,1,64370,0,1536,62824,152,36,384,0,0,0,36,0,0,0,0,0,62830,59445,0
extreme_1,2,1,0,67859,1848,1536,63697,152,36,384,0,0,0,36,0,0,0,0,0,63703,60048,270
extreme_1,2,1,1,65854,0,1536,63694,152,36,384,0,0,0,36,0,0,0,0,0,63700,60047,268
